,PostalCode,Borough,Neighborhood
0,M3A,North York,Parkwoods
1,M4A,North York,Victoria Village
2,M5A,Downtown Toronto,"Harbourfront, Regent Park"
4,M6A,North York,"Lawrence Heights, Lawrence Manor"
6,M7A,Queen's Park,Queen's Park
7,M9A,Etobicoke,Islington Avenue
8,M1B,Scarborough,"Rouge, Malvern"
10,M3B,North York,Don Mills North
11,M4B,East York,"Woodbine Gardens, Parkview Hill"
13,M5B,Downtown Toronto,"Ryerson, Garden District"
15,M6B,North York,Glencairn
16,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park"
21,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
24,M3C,North York,"Flemingdon Park, Don Mills South"
26,M4C,East York,Woodbine Heights
27,M5C,Downtown Toronto,St. James Town
28,M6C,York,Humewood-Cedarvale
29,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe"
33,M1E,Scarborough,"Guildwood, Morningside, West Hill"
36,M4E,East Toronto,The Beaches
37,M5E,Downtown Toronto,Berczy Park
38,M6E,York,Caledonia-Fairbanks
39,M1G,Scarborough,Woburn
40,M4G,East York,Leaside
41,M5G,Downtown Toronto,Central Bay Street
42,M6G,Downtown Toronto,Christie
43,M1H,Scarborough,Cedarbrae
44,M2H,North York,Hillcrest Village
45,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights"
48,M4H,East York,Thorncliffe Park
49,M5H,Downtown Toronto,"Adelaide, King, Richmond"
52,M6H,West Toronto,"Dovercourt Village, Dufferin"
54,M1J,Scarborough,Scarborough Village
55,M2J,North York,"Fairview, Henry Farm, Oriole"
58,M3J,North York,"Northwood Park, York University"
60,M4J,East York,East Toronto
61,M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station"
64,M6J,West Toronto,"Little Portugal, Trinity"
66,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park"
69,M2K,North York,Bayview Village
70,M3K,North York,"CFB Toronto, Downsview East"
72,M4K,East Toronto,"The Danforth West, Riverdale"
74,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
76,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village"
79,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
82,M2L,North York,"Silver Hills, York Mills"
84,M3L,North York,Downsview West
85,M4L,East Toronto,"The Beaches West, India Bazaar"
87,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
89,M6L,North York,"Downsview, North Park, Upwood Park"
92,M9L,North York,Humber Summit
93,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West"
96,M2M,North York,"Newtonbrook, Willowdale"
98,M3M,North York,Downsview Central
99,M4M,East Toronto,Studio District
100,M5M,North York,"Bedford Park, Lawrence Manor East"
102,M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn"
106,M9M,North York,"Emery, Humberlea"
108,M1N,Scarborough,"Birch Cliff, Cliffside West"
110,M2N,North York,Willowdale South
111,M3N,North York,Downsview Northwest
112,M4N,Central Toronto,Lawrence Park
113,M5N,Central Toronto,Roselawn
114,M6N,York,"The Junction North, Runnymede"
116,M9N,York,Weston
117,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
120,M2P,North York,York Mills West
121,M4P,Central Toronto,Davisville North
122,M5P,Central Toronto,"Forest Hill North, Forest Hill West"
124,M6P,West Toronto,"High Park, The Junction South"
126,M9P,Etobicoke,Westmount
127,M1R,Scarborough,"Maryvale, Wexford"
129,M2R,North York,Willowdale West
130,M4R,Central Toronto,North Toronto West
131,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
134,M6R,West Toronto,"Parkdale, Roncesvalles"
136,M7R,Mississauga,Canada Post Gateway Processing Centre
137,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips"
141,M1S,Scarborough,Agincourt
142,M4S,Central Toronto,Davisville
143,M5S,Downtown Toronto,"Harbord, University of Toronto"
145,M6S,West Toronto,"Runnymede, Swansea"
147,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter"
150,M4T,Central Toronto,"Moore Park, Summerhill East"
152,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
155,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East"
159,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West"
164,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara"
171,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto"
174,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
182,M1W,Scarborough,L'Amoreaux West
183,M4W,Downtown Toronto,Rosedale
184,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
185,M8W,Etobicoke,"Alderwood, Long Branch"
187,M9W,Etobicoke,Northwest
188,M1X,Scarborough,Upper Rouge
189,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
191,M5X,Downtown Toronto,"First Canadian Place, Underground city"
193,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
196,M4Y,Downtown Toronto,Church and Wellesley
197,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
198,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
206,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor"
